,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
70,4386982,mercearia,Batata Frita Lisa Azeite,0.15,KG,1.19,7.93,€
71,6432839,mercearia,Milho Doce sem Glúten,3.0,KG,1.89,4.50,€
72,7654429,mercearia,Atum Posta em Azeite,0.12,KG,1.02,12.00,€
74,7405693,mercearia,Cápsulas de Café Ardenza Int 11,64.0,UN,18.99,0.30,€
75,3646700,mercearia,Doses Fruta Pêssego +3A,3.0,LT,1.83,5.55,€
76,7324551,mercearia,Batata Frita Ondulada Pack Poupança,0.24,KG,1.39,5.79,€
77,7273640,mercearia,"Saqueta de Fruta Pêssego, Maçã e Banana +8M",0.09,KG,0.74,8.22,€
78,3027240,mercearia,Doses Fruta Pera +3A,3.0,LT,1.83,5.55,€
79,2893574,mercearia,Azeite Subtil,0.75,LT,4.7,6.27,€
80,7273638,mercearia,Saqueta de Fruta Multifrutos +8M,0.09,KG,0.74,8.22,€
81,7273633,mercearia,Saqueta de Fruta Maçã e Morango +8M,0.09,KG,0.74,8.22,€
82,2003334,mercearia,Massa Espirais Fusilli Tricolor,0.5,KG,1.21,2.42,€
83,3697798,mercearia,Atum em Óleo,0.12,KG,0.93,10.94,€
84,5569427,mercearia,Atum Posta em Azeite,0.385,KG,5.36,21.35,€
85,5784467,mercearia,Saqueta de Fruta Multifrutas +6M,0.09,KG,0.74,8.22,€
86,6206407,mercearia,Saqueta de Fruta Maçã e Manga +6M,0.09,KG,0.74,8.22,€
87,3646699,mercearia,Doses Fruta Maçã +3A,3.0,LT,1.83,5.55,€
88,2003582,mercearia,Feijão Frade Cozido,0.41,KG,0.99,4.23,€
89,2003591,mercearia,Grão de Bico Cozido sem Glúten,0.845,KG,1.99,4.25,€
90,5508158,mercearia,Bolachas Belgas,0.22,KG,1.99,9.05,€
92,4090345,mercearia,Doses Fruta Frutos Vermelhos +3A,3.0,LT,1.83,5.55,€
93,6498858,mercearia,Salsichas de Aves Lata 8 un sem Glúten,0.35,KG,1.09,5.45,€
94,7519494,mercearia,Saqueta de Fruta Maçã e Pera +8M,0.09,KG,0.74,8.22,€
95,5058932,mercearia,Bolachas de Chocolate com Recheio de Creme,0.44,KG,3.99,9.07,€
96,7379477,mercearia,Batata Frita Ondulada Sal,0.16,KG,1.99,12.44,€
97,foodbarillaspaghettipesto,mercearia,Esparguete com Molho Pesto Alla Genovese,1.0,UN,4.9,4.90,€
98,5359523,mercearia,Saqueta de Fruta Banana e Maçã +4M,0.09,KG,0.74,8.22,€
99,4954144,mercearia,Arroz Vaporizado,1.0,KG,1.12,1.12,€
100,7405694,mercearia,Cápsulas de Café Sical Int 7,64.0,UN,18.99,0.30,€
101,4272742,mercearia,Batata Frita Lisa Light Original,0.14,KG,2.15,15.36,€
