,Old_index,Name,Amount,List_Price,Price_per_unit_of_measure,Currency,Store,Standardized_Category,Abbr_Category,Cabaz_product
0,0,Atum em Azeite,0.12,1.22,14.19,€,continete,mercearia,MERC,12
2,2,Atum Filetes em Azeite,0.12,2.53,32.44,€,continete,mercearia,MERC,12
3,3,Arroz Agulha,1.0,1.59,1.59,€,continete,mercearia,MERC,2
5,5,Massa Esparguete,0.5,1.16,2.32,€,continete,mercearia,MERC,3
7,7,Atum ao Natural,0.12,1.12,13.33,€,continete,mercearia,MERC,12
8,8,Arroz Basmati,1.0,2.06,2.06,€,continete,mercearia,MERC,2
9,9,Tablete de Chocolate de Leite Extrafino sem Glúten,0.27,4.25,15.74,€,continete,mercearia,MERC,0
10,10,Atum Posta em Azeite,0.12,1.78,22.82,€,continete,mercearia,MERC,12
11,11,Massa Esparguete,0.5,0.75,1.50,€,continete,mercearia,MERC,3
14,15,Azeite Virgem Extra Selecionado Pet,0.75,5.17,6.89,€,continete,mercearia,MERC,22
16,17,Leite em Pó Confort 2 +6M sem Glúten,0.8,20.5,25.63,€,continete,mercearia,MERC,0
21,22,Arroz Basmati Brajma Pronto a Comer sem Glúten,2.0,1.55,6.20,€,continete,mercearia,MERC,2
24,25,Grão de Bico Cozido sem Glúten,0.41,0.99,4.23,€,continete,mercearia,MERC,8
26,28,Azeite,0.75,3.95,5.27,€,continete,mercearia,MERC,22
27,29,Atum Posta ao Natural,0.12,0.93,10.94,€,continete,mercearia,MERC,12
30,33,Tomate em Pedaços,0.39,0.89,2.28,€,continete,mercearia,MERC,15
32,35,Grão de Bico Cozido sem Glúten,0.54,0.89,2.23,€,continete,mercearia,MERC,8
33,36,Atum em Azeite,0.12,1.02,12.00,€,continete,mercearia,MERC,12
35,38,Azeite Virgem Extra,0.75,4.42,5.89,€,continete,mercearia,MERC,22
37,40,Arroz Agulha Europa,1.0,1.12,1.12,€,continete,mercearia,MERC,2
38,41,Azeite Virgem Extra Sublime,0.75,5.46,7.28,€,continete,mercearia,MERC,22
41,44,Atum Posta ao Natural,0.12,1.78,21.19,€,continete,mercearia,MERC,12
43,46,Polpa de Tomate,0.5,0.99,1.98,€,continete,mercearia,MERC,15
44,47,Massa Esparguete Pack Poupança,1.0,1.31,1.31,€,continete,mercearia,MERC,3
45,48,Atum Posta ao Natural,0.12,0.93,10.94,€,continete,mercearia,MERC,12
46,50,Massa Esparguete,0.55,1.21,2.42,€,continete,mercearia,MERC,3
48,52,Massa Espirais,0.5,0.7,1.40,€,continete,mercearia,MERC,3
49,53,Atum Posta em Óleo sem Glúten,0.12,1.18,15.13,€,continete,mercearia,MERC,12
52,57,Polpa de Tomate,3.0,1.49,2.37,€,continete,mercearia,MERC,15
57,63,Atum ao Natural,0.385,2.53,9.37,€,continete,mercearia,MERC,12
58,64,Massa Fusilli,0.5,2.44,4.88,€,continete,mercearia,MERC,3
62,68,Arroz Carolino,1.0,1.31,1.31,€,continete,mercearia,MERC,2
63,69,Atum Posta em Azeite,0.12,2.06,26.41,€,continete,mercearia,MERC,12
64,70,Batata Frita Lisa Azeite,0.15,1.19,7.93,€,continete,mercearia,MERC,22
66,72,Atum Posta em Azeite,0.12,1.02,12.00,€,continete,mercearia,MERC,12
72,79,Azeite Subtil,0.75,4.7,6.27,€,continete,mercearia,MERC,22
75,82,Massa Espirais Fusilli Tricolor,0.5,1.21,2.42,€,continete,mercearia,MERC,3
76,83,Atum em Óleo,0.12,0.93,10.94,€,continete,mercearia,MERC,12
77,84,Atum Posta em Azeite,0.385,5.36,21.35,€,continete,mercearia,MERC,12
81,88,Feijão Frade Cozido,0.41,0.99,4.23,€,continete,mercearia,MERC,7
82,89,Grão de Bico Cozido sem Glúten,0.845,1.99,4.25,€,continete,mercearia,MERC,8
91,99,Arroz Vaporizado,1.0,1.12,1.12,€,continete,mercearia,MERC,2
99,107,Massa Macarronete Penne Grande Riscado,0.5,1.65,3.30,€,continete,mercearia,MERC,3
100,108,Doce Extra de Tomate,0.375,1.79,4.77,€,continete,mercearia,MERC,15
102,110,Tomate Pelado Inteiro,0.39,0.96,2.46,€,continete,mercearia,MERC,15
104,112,Arroz Carolino,1.0,2.16,2.16,€,continete,mercearia,MERC,2
108,116,Tomate Pelado em Pedaços,0.39,1.46,3.74,€,continete,mercearia,MERC,15
109,117,Massa Esparguete Tricolor,0.5,1.21,2.42,€,continete,mercearia,MERC,3
111,119,Feijão Preto Cozido,0.41,0.99,4.23,€,continete,mercearia,MERC,7
112,120,Tomate Pelado,0.78,1.29,1.65,€,continete,mercearia,MERC,15
115,123,Feijão Manteiga Cozido,0.41,0.99,4.23,€,continete,mercearia,MERC,7
120,128,Massa Farfalle,0.5,2.44,4.88,€,continete,mercearia,MERC,3
121,129,Feijão Encarnado Cozido,0.41,0.99,4.23,€,continete,mercearia,MERC,7
122,130,Tomate Triturado,0.39,0.69,1.77,€,continete,mercearia,MERC,15
123,131,Massa Penne Rigate,0.5,2.44,4.88,€,continete,mercearia,MERC,3
124,132,Feijão Branco Cozido,0.845,1.99,4.23,€,continete,mercearia,MERC,7
126,135,Feijão Branco Cozido,0.41,0.99,4.23,€,continete,mercearia,MERC,7
128,137,Arroz Carolino,1.0,1.49,1.49,€,continete,mercearia,MERC,2
129,138,Atum ao Natural,0.11,0.83,10.78,€,continete,mercearia,MERC,12
131,140,Arroz Basmati Extra Longo,1.0,2.39,2.39,€,continete,mercearia,MERC,2
135,144,Massa Macarrão Riscado,0.5,0.93,1.86,€,continete,mercearia,MERC,3
136,145,Feijão Preto Cozido,0.82,1.19,2.29,€,continete,mercearia,MERC,7
143,152,Massa Esparguete Integral,0.5,2.82,5.64,€,continete,mercearia,MERC,3
144,153,Massa Penne Rigate sem Glúten,0.4,2.91,7.28,€,continete,mercearia,MERC,3
145,154,Azeite Virgem Extra Essencial,0.75,4.59,6.12,€,continete,mercearia,MERC,22
148,157,Arroz Integral Extra Longo,1.0,2.0,2.00,€,continete,mercearia,MERC,2
154,163,Filete Atum em Azeite Biológico,0.12,2.72,34.87,€,continete,mercearia,MERC,12
155,164,Feijão Frade Cozido,0.54,0.89,2.23,€,continete,mercearia,MERC,7
156,165,Atum Posta em Azeite,0.12,1.03,13.21,€,continete,mercearia,MERC,12
158,167,Massa Espirais Fusilli,0.5,1.12,2.24,€,continete,mercearia,MERC,3
163,172,Grão de Bico Cozido sem Glúten,0.82,2.39,4.60,€,continete,mercearia,MERC,8
168,177,Atum em Óleo de Girassol,0.385,2.53,10.12,€,continete,mercearia,MERC,12
171,180,Atum em Posta em Óleo de Girassol,0.12,1.5,19.23,€,continete,mercearia,MERC,12
173,182,Feijão Frade Cozido,0.845,1.99,4.25,€,continete,mercearia,MERC,7
179,189,Arroz Basmati,2.5,5.65,2.26,€,continete,mercearia,MERC,2
180,190,Bolachas Tostadas,0.8,1.79,2.24,€,continete,mercearia,MERC,5
182,192,Bolachas Cobertas Chocolate de Leite,0.15,1.29,8.60,€,continete,mercearia,MERC,0
183,193,Filete de Cavala em Azeite,0.15,1.49,17.53,€,continete,mercearia,MERC,14
184,194,Filete Atum em Azeite,0.12,1.59,13.25,€,continete,mercearia,MERC,12
185,195,Feijão Encarnado Cozido,0.54,0.89,2.23,€,continete,mercearia,MERC,7
186,196,Atum Posta em Azeite,0.2,2.94,22.62,€,continete,mercearia,MERC,12
188,198,Tomate Pelado,0.39,0.89,2.28,€,continete,mercearia,MERC,15
191,201,Tomate Triturado,0.4,2.39,5.98,€,continete,mercearia,MERC,15
196,206,Massa Fusilli Tricolor,0.5,1.02,2.04,€,continete,mercearia,MERC,3
199,209,Feijão Manteiga Cozido,0.83,1.19,2.29,€,continete,mercearia,MERC,7
207,217,Feijão Encarnado Cozido,0.83,1.19,2.29,€,continete,mercearia,MERC,7
209,219,Feijão Branco Cozido,0.54,0.89,2.23,€,continete,mercearia,MERC,7
212,222,Arroz Agulha,1.0,1.26,1.26,€,continete,mercearia,MERC,2
213,223,Arroz Agulha Selecionado,1.0,1.21,1.21,€,continete,mercearia,MERC,2
214,224,Mini Tostas de Trigo,0.35,1.87,5.34,€,continete,mercearia,MERC,5
216,226,"Saqueta de Fruta Maçã, Pera e Cenoura +8M",0.09,0.74,8.22,€,continete,mercearia,MERC,20
217,227,Massa Cotovelinhos,0.5,1.5,3.00,€,continete,mercearia,MERC,3
219,229,Feijão Frade Cozido,0.41,1.29,4.96,€,continete,mercearia,MERC,7
223,233,Polpa Tomate Passata,0.7,2.79,3.99,€,continete,mercearia,MERC,15
226,236,Feijão Encarnado Cozido,0.845,1.99,4.23,€,continete,mercearia,MERC,7
230,240,Feijão Frade,0.5,1.97,3.94,€,continete,mercearia,MERC,7
231,241,Polpa de Tomate,0.5,1.27,2.54,€,continete,mercearia,MERC,15
235,245,Massa Cotovelos Grandes Riscados,0.5,1.65,3.30,€,continete,mercearia,MERC,3
240,250,Grão de Bico Cozido sem Glúten,0.41,1.29,4.96,€,continete,mercearia,MERC,8
245,255,Atum Filete em Azeite,0.2,4.57,32.64,€,continete,mercearia,MERC,12
247,257,Leite de Coco,0.4,1.49,3.73,€,continete,mercearia,MERC,0
250,260,Polpa de Tomate com Cebola e Alho,0.5,1.29,2.58,€,continete,mercearia,MERC,15
252,262,Massa Penne Rigate,0.5,2.25,4.50,€,continete,mercearia,MERC,3
253,263,Massa Esparguete,1.0,2.16,2.16,€,continete,mercearia,MERC,3
255,265,Massa Esparguete,0.5,1.21,2.42,€,continete,mercearia,MERC,3
256,266,Feijão Manteiga Cozido,0.82,2.39,4.60,€,continete,mercearia,MERC,7
258,268,Atum Posta em Molho de Tomate e Oregãos,0.12,0.99,12.69,€,continete,mercearia,MERC,12
260,270,"Croutons com Azeite, Alho e Salsa",0.075,0.74,9.87,€,continete,mercearia,MERC,22
263,273,Feijão Preto Cozido,0.845,1.99,4.25,€,continete,mercearia,MERC,7
264,274,Feijão Preto Cozido,0.42,0.84,3.23,€,continete,mercearia,MERC,7
266,277,Atum Posta em Azeite,0.385,3.29,13.16,€,continete,mercearia,MERC,12
269,280,Arroz Vaporizado,1.0,1.3,1.30,€,continete,mercearia,MERC,2
271,282,Feijão Branco Cozido,0.83,1.19,2.29,€,continete,mercearia,MERC,7
274,285,Massa Penne Mezzaan Rigate,0.5,1.97,3.94,€,continete,mercearia,MERC,3
279,290,Atum em Filete com Limão e Piripiri,0.12,2.89,37.05,€,continete,mercearia,MERC,12
283,294,Atum Posta em Óleo,0.385,4.8,19.12,€,continete,mercearia,MERC,12
290,301,Tomate Triturado,0.5,1.39,2.78,€,continete,mercearia,MERC,15
294,306,Massa Penne Rigate Integral,0.5,2.06,4.12,€,continete,mercearia,MERC,3
295,307,Leite Condensado,0.397,1.49,3.75,€,continete,mercearia,MERC,0
298,310,Arroz Basmati Extra Longo,1.0,2.35,2.35,€,continete,mercearia,MERC,2
301,313,Arroz Carolino Extra Longo,1.0,2.01,2.01,€,continete,mercearia,MERC,2
305,317,Tortitas de Arroz com 54% Chocolate sem Glúten,0.122,1.59,13.03,€,continete,mercearia,MERC,2
310,322,Atum Posta em Azeite Virgem Extra e Oregãos,0.12,1.97,25.26,€,continete,mercearia,MERC,12
314,326,Feijão Frade Cozido,0.83,1.19,2.29,€,continete,mercearia,MERC,7
315,327,Atum Posta em Azeite,0.385,3.76,15.04,€,continete,mercearia,MERC,12
317,329,Feijão Encarnado Cozido,0.42,0.84,3.23,€,continete,mercearia,MERC,7
320,332,Bolachas Argolinhas com Cobertura Chocolate de Leite,0.15,0.79,5.27,€,continete,mercearia,MERC,0
323,335,Tostas Extra Finas,5.0,1.19,11.90,€,continete,mercearia,MERC,5
326,338,Atum em Óleo,0.141,0.69,9.58,€,continete,mercearia,MERC,12
327,339,Massa Conchas,0.5,1.5,3.00,€,continete,mercearia,MERC,3
329,341,Tomate Seco em Óleo,0.335,3.99,14.25,€,continete,mercearia,MERC,15
331,343,Filete de Atum em Azeite com Manjericão e Tomate,0.12,2.89,37.05,€,continete,mercearia,MERC,12
335,347,Tosta Rica Mini Go,0.24,1.89,7.88,€,continete,mercearia,MERC,5
336,348,"Saqueta de Fruta Maçã, Cenoura e Manga +6M",0.09,0.74,8.22,€,continete,mercearia,MERC,20
343,356,Atum em Óleo Vegetal,0.11,0.74,10.42,€,continete,mercearia,MERC,12
349,362,Massa Macarrão Grande,0.5,0.83,1.66,€,continete,mercearia,MERC,3
350,363,Massa Instantânea Chinesa de Cogumelos,0.085,0.83,9.76,€,continete,mercearia,MERC,3
351,364,Massa Esparguete Fino,0.5,0.87,1.74,€,continete,mercearia,MERC,3
352,365,Filete de Atum ao Natural,0.12,1.59,18.71,€,continete,mercearia,MERC,12
354,367,Arroz Thai Jasmim,1.0,1.68,1.68,€,continete,mercearia,MERC,2
356,369,Grão de Bico Cozido sem Glúten,0.54,2.99,5.54,€,continete,mercearia,MERC,8
358,371,Atum Posta ao Natural,0.385,2.82,14.10,€,continete,mercearia,MERC,12
372,385,Atum Posta em Azeite,0.11,1.02,14.17,€,continete,mercearia,MERC,12
373,386,Tomate em Pedaços com Manjericão e Orégãos,0.39,1.79,4.59,€,continete,mercearia,MERC,15
374,387,Atum Posta ao Natural,0.12,0.93,11.07,€,continete,mercearia,MERC,12
377,390,Massa Cotovelinhos,0.5,1.12,2.24,€,continete,mercearia,MERC,3
378,391,Tomate Concentrado,0.14,0.99,7.07,€,continete,mercearia,MERC,15
382,395,Polpa de Tomate,3.0,2.55,4.05,€,continete,mercearia,MERC,15
385,398,Massa Laços Farfalle Tricolor,0.5,1.21,2.42,€,continete,mercearia,MERC,3
387,400,Arroz Agulha,1.0,1.68,1.68,€,continete,mercearia,MERC,2
388,401,Feijão Encarnado Cozido,0.41,1.29,4.96,€,continete,mercearia,MERC,7
392,405,Massa Farfalle,0.5,1.02,2.04,€,continete,mercearia,MERC,3
395,408,Massa Fusilli sem Glúten,0.4,2.91,7.28,€,continete,mercearia,MERC,3
397,410,Feijão Manteiga Cozido,0.41,1.29,4.96,€,continete,mercearia,MERC,7
399,412,Grão de Bico Cozido sem Glúten,0.56,1.99,4.98,€,continete,mercearia,MERC,8
400,413,Atum em Filete Natural,0.12,2.53,30.12,€,continete,mercearia,MERC,12
401,414,Feijão Frade Cozido,0.42,0.84,3.23,€,continete,mercearia,MERC,7
402,415,Atum Posta ao Natural,0.2,2.94,21.00,€,continete,mercearia,MERC,12
403,416,Ervilhas com Cenoura sem Glúten,0.41,1.49,6.37,€,continete,mercearia,MERC,9
405,418,Massa Esparguete,0.5,1.21,2.42,€,continete,mercearia,MERC,3
407,420,Massa Linguine,0.5,1.68,3.36,€,continete,mercearia,MERC,3
412,426,Feijão Manteiga Cozido,0.54,0.89,2.23,€,continete,mercearia,MERC,7
418,432,Massa Fusilli Integral,0.5,1.31,2.62,€,continete,mercearia,MERC,3
422,436,Arroz Basmati Brajma,1.0,2.82,2.82,€,continete,mercearia,MERC,2
424,438,Snack Mix Queijo,0.14,1.29,9.21,€,continete,mercearia,MERC,1
428,442,Salsichas de Frango Cuida-t+ Lata 8 un,0.35,2.19,13.69,€,continete,mercearia,MERC,10
432,446,Atum Posta em Óleo,0.11,0.93,12.92,€,continete,mercearia,MERC,12
435,449,Atum Posta ao Natural,0.12,1.87,22.26,€,continete,mercearia,MERC,12
444,458,Massa Laços Integrais com Aveia,0.5,1.78,3.56,€,continete,mercearia,MERC,3
447,461,Snack Equilíbrio de Cereais Queijo e Cebola,0.095,2.15,22.63,€,continete,mercearia,MERC,1
449,463,Bolachas Crackers Azeite e Rosmaninho,0.2,2.34,11.70,€,continete,mercearia,MERC,22
450,464,Patê de Atum em Azeite,0.075,2.54,33.87,€,continete,mercearia,MERC,12
455,469,Feijão Manteiga Cozido,0.42,0.84,3.23,€,continete,mercearia,MERC,7
457,471,Massa de Pimentão sem Glúten,0.4,1.59,3.98,€,continete,mercearia,MERC,3
460,474,Massa Macarronete Penne Riscado,0.5,1.12,2.24,€,continete,mercearia,MERC,3
462,476,Massa Fusilli Integral,0.5,2.06,4.12,€,continete,mercearia,MERC,3
465,479,Sardinha em Tomate com Picante,0.12,0.79,9.29,€,continete,mercearia,MERC,13
467,481,Massa Laços Farfalle,0.5,1.68,3.36,€,continete,mercearia,MERC,3
468,482,Massa Instantânea Chinesa de Legumes,0.085,0.83,9.76,€,continete,mercearia,MERC,3
472,486,Atum em Óleo,0.11,0.83,11.53,€,continete,mercearia,MERC,12
480,494,Massa Esparguete,2.0,4.32,2.16,€,continete,mercearia,MERC,3
482,496,Feijão Branco Cozido,0.38,1.19,4.76,€,continete,mercearia,MERC,7
486,500,Arroz Basmati,1.0,2.72,2.72,€,continete,mercearia,MERC,2
491,505,Azeite Virgem,0.75,4.23,5.64,€,continete,mercearia,MERC,22
495,509,Polpa de Tomate com Manjericão e Oregãos,0.5,2.39,4.78,€,continete,mercearia,MERC,15
497,511,Polpa de Tomate com Cebola e Alho,0.5,1.39,2.78,€,continete,mercearia,MERC,15
502,516,Arroz Vaporizado Carolino,1.0,1.62,1.62,€,continete,mercearia,MERC,2
503,517,Atum em Tomate,0.12,2.09,26.79,€,continete,mercearia,MERC,12
506,520,Massa Esparguete Integral,0.5,0.93,1.86,€,continete,mercearia,MERC,3
511,525,Tomate Frito,0.35,2.09,5.97,€,continete,mercearia,MERC,15
512,526,Ervilhas Cozidas sem Glúten,0.41,0.99,4.23,€,continete,mercearia,MERC,9
514,528,Feijão Manteiga Cozido,0.845,1.99,4.23,€,continete,mercearia,MERC,7
515,529,Doce Tomate,0.345,2.99,8.67,€,continete,mercearia,MERC,15
517,531,Arroz Risotto,1.0,3.76,3.76,€,continete,mercearia,MERC,2
521,535,Massa Penne Rigate Integral,0.5,2.14,4.28,€,continete,mercearia,MERC,3
522,536,Massa Penne Rigate,0.5,0.99,1.98,€,continete,mercearia,MERC,3
526,540,Feijão Branco Cozido,0.42,0.84,3.23,€,continete,mercearia,MERC,7
527,541,Mini Picos com Azeite,0.3,2.11,7.03,€,continete,mercearia,MERC,22
529,543,Massa Penne Integral,0.5,1.31,2.62,€,continete,mercearia,MERC,3
531,545,Patê de Sardinha,0.088,2.09,23.75,€,continete,mercearia,MERC,13
534,548,Azeite Virgem Extra Suave,0.75,6.55,8.73,€,continete,mercearia,MERC,22
540,554,Massa Fusilli Bronzo,0.5,1.21,2.42,€,continete,mercearia,MERC,3
546,560,Massa Esparguete,0.55,0.83,1.66,€,continete,mercearia,MERC,3
550,564,Massa Laços Tricolores,0.5,0.93,1.86,€,continete,mercearia,MERC,3
557,571,Arroz Vaporizado Estufado,1.0,1.39,1.39,€,continete,mercearia,MERC,2
569,583,Atum Posta em Óleo,0.2,2.59,19.92,€,continete,mercearia,MERC,12
572,586,Atum Posta em Óleo de Girassol,0.12,0.93,11.92,€,continete,mercearia,MERC,12
583,597,Cereais Crockers Recheio de Leite,0.375,1.99,5.31,€,continete,mercearia,MERC,0
585,599,Polpa de Tomate,1.0,1.79,1.79,€,continete,mercearia,MERC,15
586,600,"Tortitas Vitalday de Arroz, Iogurte e Framboesa sem Glúten",0.112,2.89,25.80,€,continete,mercearia,MERC,2
587,601,Palmiers com Massa Folhada,4.0,1.19,7.44,€,continete,mercearia,MERC,3
588,602,Feijão Branco Cozido,0.82,2.39,4.60,€,continete,mercearia,MERC,7
590,604,Massa Macarrão Riscado,0.5,1.12,2.24,€,continete,mercearia,MERC,3
591,605,Massa Cotovelinhos,0.5,0.93,1.86,€,continete,mercearia,MERC,3
594,608,Bolachas Marinheiras com Azeite Virgem Extra,0.2,2.49,12.45,€,continete,mercearia,MERC,22
599,613,Tostas com Tomate e Orégãos,0.1,1.87,18.70,€,continete,mercearia,MERC,5
603,617,Atum Filete ao Natural,0.2,4.57,32.64,€,continete,mercearia,MERC,12
607,621,Tostas Suecas Integrais,0.225,1.21,5.38,€,continete,mercearia,MERC,5
610,624,Atum em Azeite Biológico,0.12,1.97,25.26,€,continete,mercearia,MERC,12
611,625,Ervilhas sem Glúten,3.0,3.99,9.50,€,continete,mercearia,MERC,9
615,629,Mini Tostas Integrais,0.18,1.32,7.33,€,continete,mercearia,MERC,5
616,630,Tomate Pelado Inteiro,0.4,2.29,5.73,€,continete,mercearia,MERC,15
619,633,Massa Esparguete Integral,0.5,1.81,3.62,€,continete,mercearia,MERC,3
623,637,Tablete de Chocolate de Leite com Avelãs,0.2,1.79,8.95,€,continete,mercearia,MERC,0
624,638,Tostas Integrais,5.0,2.24,2.99,€,continete,mercearia,MERC,5
625,639,Massa Cotovelos Grossos Riscados,0.5,0.83,1.66,€,continete,mercearia,MERC,3
627,641,Tostas Rústicas,0.24,2.31,9.63,€,continete,mercearia,MERC,5
628,642,Sardinha em Tomate,0.12,0.74,9.49,€,continete,mercearia,MERC,13
633,647,Tomate em Pedaços com Manjericão e Oregãos,0.39,0.99,2.54,€,continete,mercearia,MERC,15
634,648,Polpa Tomate em Cubos,0.4,1.79,4.48,€,continete,mercearia,MERC,15
641,655,Polpa de Tomate,1.0,2.69,2.69,€,continete,mercearia,MERC,15
644,658,Massa Macarrão Wok,0.5,1.87,3.74,€,continete,mercearia,MERC,3
646,660,Barras de Cereais Chocolate de Leite e Banana,0.126,1.29,10.32,€,continete,mercearia,MERC,0
663,678,Filete de Cavala em Óleo,0.12,2.55,32.69,€,continete,mercearia,MERC,14
666,681,Bolachas Digestivas com Chocolate de Leite,0.3,1.39,4.63,€,continete,mercearia,MERC,0
668,683,Passata de Tomate com Manjerição e Oregãos,0.21,1.05,5.00,€,continete,mercearia,MERC,15
670,685,Papa Infantil para Preparar com Leite +6M,0.6,4.31,7.18,€,continete,mercearia,MERC,0
673,688,Tortitas de Milho com Tomate e Azeite,0.13,2.95,22.69,€,continete,mercearia,MERC,15
674,689,Massa Macarrão Grande Riscado,0.5,1.65,3.30,€,continete,mercearia,MERC,3
675,690,Snacks Milho Futebolas Sabor Queijo,0.13,1.99,15.31,€,continete,mercearia,MERC,1
680,695,Atum Posta em Óleo,0.385,2.53,10.12,€,continete,mercearia,MERC,12
682,697,Massa Espirais Fusilli,0.5,1.12,2.24,€,continete,mercearia,MERC,3
683,698,Bolachas Dinossauros de Chocolate de Leite,0.34,3.69,10.85,€,continete,mercearia,MERC,0
684,699,Azeite Virgem Extra Clássico,0.75,6.55,8.73,€,continete,mercearia,MERC,22
686,701,Feijão Preto Cozido,0.82,2.49,4.79,€,continete,mercearia,MERC,7
690,705,Massa Gemelli,0.5,2.04,4.08,€,continete,mercearia,MERC,3
691,706,Azeite Virgem Extra Reserva,0.75,5.93,7.91,€,continete,mercearia,MERC,22
700,715,Massa Espirais Wok,0.5,1.87,3.74,€,continete,mercearia,MERC,3
703,718,Bolachas Choco Minis Leite,0.185,2.65,14.32,€,continete,mercearia,MERC,0
706,721,Massa Spaghettini,0.5,1.97,3.94,€,continete,mercearia,MERC,3
712,727,Massa Orecchiette,0.5,3.1,6.20,€,continete,mercearia,MERC,3
715,730,Snack para Bebé Tubinhos de Grão de Bico +12M,0.02,1.49,74.50,€,continete,mercearia,MERC,8
716,731,Feijão Preto,0.5,1.99,3.98,€,continete,mercearia,MERC,7
718,733,Filete de Atum ao Natural,0.12,2.16,25.71,€,continete,mercearia,MERC,12
721,736,Leite de Coco,0.2,1.69,8.45,€,continete,mercearia,MERC,0
723,738,Tostas Suecas,0.225,1.02,4.53,€,continete,mercearia,MERC,5
725,740,Bolachas Wafers de Chocolate de Leite,0.18,2.99,16.61,€,continete,mercearia,MERC,0
726,741,Cavala em Tomate Picante,0.12,0.89,9.89,€,continete,mercearia,MERC,14
727,742,Sardinha em Azeite,0.12,1.99,23.69,€,continete,mercearia,MERC,13
728,743,Polpa Tomate,0.5,3.99,7.98,€,continete,mercearia,MERC,15
729,744,Bolachas Cookie XL Chocolate de Leite,0.18,2.59,14.39,€,continete,mercearia,MERC,0
735,750,Arroz Agulha,1.0,1.5,1.50,€,continete,mercearia,MERC,2
737,752,Ervilha sem Glúten,3.0,2.74,14.05,€,continete,mercearia,MERC,9
741,756,Atum Posta ao Natural,0.12,1.36,16.19,€,continete,mercearia,MERC,12
742,757,Massa Esparguete Integral com Aveia,0.5,1.78,3.56,€,continete,mercearia,MERC,3
748,763,Arroz Agulha Extra Longo,1.0,1.21,1.21,€,continete,mercearia,MERC,2
752,767,Massa Fettuccine,0.5,1.68,3.36,€,continete,mercearia,MERC,3
761,776,Massa Bavette,0.5,2.44,4.88,€,continete,mercearia,MERC,3
762,777,Marmelada Pack Poupança,0.9,2.69,2.99,€,continete,mercearia,MERC,24
766,781,Massa Espirais sem Glúten,0.5,2.53,5.06,€,continete,mercearia,MERC,3
768,783,Bolachas Wafers com Chocolate de Leite Waffeletten,0.1,2.49,24.90,€,continete,mercearia,MERC,0
770,785,Tostas Rústicas Integrais,0.24,2.3,9.58,€,continete,mercearia,MERC,5
773,788,Massa Linguine sem Glúten,0.4,2.91,7.28,€,continete,mercearia,MERC,3
780,795,Tablete de Chocolate de Leite com Amêndoa,0.2,1.79,8.95,€,continete,mercearia,MERC,0
782,797,Sardinha Inteira em Tomate,0.12,0.79,9.29,€,continete,mercearia,MERC,13
783,798,Tostas com Alho e Salsa,0.1,1.87,18.70,€,continete,mercearia,MERC,5
784,799,Atum Posta ao Natural,0.385,5.36,19.85,€,continete,mercearia,MERC,12
790,805,Tomate em Pedaços com Cebola e Alho,0.39,1.79,4.59,€,continete,mercearia,MERC,15
793,808,Massa Linguini Bronzo,0.5,1.21,2.42,€,continete,mercearia,MERC,3
800,815,Polpa de Tomate,1.0,2.64,2.64,€,continete,mercearia,MERC,15
804,819,Arroz Basmati,0.5,1.17,2.34,€,continete,mercearia,MERC,2
810,825,Feijão Branco Cozido sem Glúten,0.54,2.99,5.54,€,continete,mercearia,MERC,7
811,826,Galetes de Arroz sem Sal Finíssimas sem Glúten,0.13,1.39,10.69,€,continete,mercearia,MERC,2
816,831,Massa Esparguete,0.5,2.04,4.08,€,continete,mercearia,MERC,3
818,833,Sardinha sem Pele e sem Espinha em Azeite,0.12,1.69,19.88,€,continete,mercearia,MERC,13
822,837,Massa Esparguete Tricolor,0.5,1.21,2.42,€,continete,mercearia,MERC,3
829,844,Tomate Pelado Inteiro,0.4,1.29,3.23,€,continete,mercearia,MERC,15
831,846,Massa Mini-Laços com Vegetais,0.5,1.87,3.74,€,continete,mercearia,MERC,3
832,847,Tablete de Chocolate de Leite,0.1,0.69,6.90,€,continete,mercearia,MERC,0
834,849,Tablete de Chocolate de Leite,0.27,4.39,16.26,€,continete,mercearia,MERC,0
836,851,Massa Tagliatelle Sêmola,0.5,3.57,7.14,€,continete,mercearia,MERC,3
839,854,Massa Meada,0.5,1.31,2.62,€,continete,mercearia,MERC,3
841,856,Massa Hélices,0.5,1.5,3.00,€,continete,mercearia,MERC,3
842,857,Massa Instantânea Chinesa de Galinha,0.085,0.83,9.76,€,continete,mercearia,MERC,3
843,858,Massa Tagliatelle,0.5,2.91,5.82,€,continete,mercearia,MERC,3
847,862,Massa Esparguete Alentejo,0.5,0.93,1.86,€,continete,mercearia,MERC,3
850,865,Bolachas com Recheio de Leite e Cacau Tosta Rica Choco Guay,0.168,1.69,10.06,€,continete,mercearia,MERC,0
852,867,Massa de Alho sem Glúten,0.2,0.85,4.25,€,continete,mercearia,MERC,3
853,868,Sardinha em Azeite,0.12,1.52,18.10,€,continete,mercearia,MERC,13
858,873,Massa Esparguete Integral,0.5,2.14,4.28,€,continete,mercearia,MERC,3
860,875,Feijão Encarnado Cozido,3.0,3.79,10.11,€,continete,mercearia,MERC,7
861,876,Massa Linguine,0.5,2.04,4.08,€,continete,mercearia,MERC,3
864,879,Bolacha Maria Dourada,0.8,1.99,2.49,€,continete,mercearia,MERC,6
