,Time scraped,Category,Name,Amount,Units,List_Price,Price_per_unit_of_measure,Currency
48,2023-05-12 18:26:22,mercearia, Sardinha sem Pele e sem Espinha em Azeite Pingo Doce ,0.12,KG,1.69,14.08,€
49,2023-05-12 18:26:22,mercearia, Sardinha sem Pele e sem Espinha em Tomate Pingo Doce ,0.12,KG,1.69,14.08,€
50,2023-05-12 18:26:22,mercearia, Rebuçados Peitorais Dr. Bayard ,0.2,KG,2.15,10.75,€
51,2023-05-12 18:26:22,mercearia, Molho de Vinagrete com Mostarda L'Ancienne Pingo Doce ,0.245,L,1.39,5.67,€
52,2023-05-12 18:26:22,mercearia, Farinha de Arroz Ceifeira ,0.5,KG,1.09,2.18,€
53,2023-05-12 18:26:22,mercearia, Flor de Sal Marnoto ,0.25,KG,1.79,7.16,€
54,2023-05-12 18:26:22,mercearia, Cacau Magro em Pó Pingo Doce ,0.125,KG,0.99,7.92,€
55,2023-05-12 18:26:22,mercearia, Molho Piri-Piri Extra Forte Pingo Doce ,0.1,L,0.99,9.9,€
56,2023-05-12 18:26:22,mercearia, Molho de Vinagrete Pingo Doce ,0.245,L,1.19,4.86,€
57,2023-05-12 18:26:22,mercearia, Molho Piri-piri Pingo Doce ,0.195,L,0.37,1.9,€
58,2023-05-12 18:26:22,mercearia, Bolachas de Chocolate Fingers Cadbury ,0.114,KG,2.19,19.21,€
59,2023-05-12 18:26:22,mercearia, Polpa de Maracujá sem sementes Koala ,0.565,KG,4.04,7.15,€
60,2023-05-12 18:26:22,mercearia, Lichias em Calda Koala ,0.567,KG,2.79,4.92,€
61,2023-05-12 18:26:22,mercearia, Farinha de Trigo sem Fermento Tipo 65 Pérola ,1.0,KG,0.84,0.84,€
62,2023-05-12 18:26:22,mercearia, Fusilli Com Cogumelos Pingo Doce ,0.155,KG,1.39,8.97,€
63,2023-05-12 18:26:22,mercearia, Mostarda Dijon Pingo Doce ,0.2,KG,1.44,7.2,€
64,2023-05-12 18:26:22,mercearia, Gelatina em Folha Incolor Premium ,0.045,KG,0.69,15.33,€
65,2023-05-12 18:26:22,mercearia, Snacks Pops Cocoa Urban Foods ,0.027,KG,1.39,51.48,€
66,2023-05-12 18:26:22,mercearia, Milho para Pipocas Pingo Doce ,0.25,KG,0.39,1.56,€
67,2023-05-12 18:26:22,mercearia, Sardinha em Azeite Pingo Doce ,0.12,KG,0.99,8.25,€
68,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Morango Chiclets ,0.0165,KG,0.99,60.0,€
69,2023-05-12 18:26:22,mercearia, Mel com Geleia Real Serramel ,0.3,KG,5.77,19.23,€
70,2023-05-12 18:26:22,mercearia, Sardinha em Tomate Pingo Doce ,0.12,KG,0.99,8.25,€
71,2023-05-12 18:26:22,mercearia, Sal Marinho Tradicional Marnoto ,1.0,KG,0.89,0.89,€
72,2023-05-12 18:26:22,mercearia, Sal Fino Iodado Vatel ,0.25,KG,0.79,3.16,€
73,2023-05-12 18:26:22,mercearia, Mel de Rosmaninho Lacre Serramel ,0.5,KG,7.14,14.28,€
74,2023-05-12 18:26:22,mercearia, Mel Cremoso de Laranjeira do Algarve Serramel ,0.42,KG,6.39,15.21,€
75,2023-05-12 18:26:22,mercearia, Mel de Queiró e Rosmaninho Serramel ,0.3,KG,4.24,14.13,€
76,2023-05-12 18:26:22,mercearia, Sal Marinho Especial Saladas Vatel ,0.25,KG,0.84,3.36,€
77,2023-05-12 18:26:22,mercearia, Sal Fino de Mesa Vatel ,0.25,KG,0.49,1.96,€
78,2023-05-12 18:26:22,mercearia, Mel de Queiró Serramel ,0.5,KG,6.39,12.78,€
79,2023-05-12 18:26:22,mercearia, Macedónia de Legumes Pingo Doce ,0.4,KG,0.99,2.47,€
80,2023-05-12 18:26:22,mercearia, Rebentos de Feijão Mungo Pingo Doce ,0.2,KG,0.79,3.95,€
81,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Orégãos Marnoto ,0.125,KG,2.59,20.72,€
82,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Piri-Piri Marnoto ,0.125,KG,2.59,20.72,€
83,2023-05-12 18:26:22,mercearia, Mistura Flor de Sal com Alho Marnoto ,0.125,KG,2.59,20.72,€
84,2023-05-12 18:26:22,mercearia, Doce de Abóbora com Amêndoas Beirabaga ,0.27,KG,3.19,11.81,€
85,2023-05-12 18:26:22,mercearia, Doce de Tomate Beirabaga ,0.27,KG,3.19,11.81,€
86,2023-05-12 18:26:22,mercearia, Doce de Ginja Beirabaga ,0.27,KG,3.19,11.81,€
87,2023-05-12 18:26:22,mercearia, Pepino Agridoce com Mostarda Maçarico ,0.21,KG,2.54,12.1,€
88,2023-05-12 18:26:22,mercearia, Pepinos Maçarico ,0.21,KG,2.27,10.81,€
89,2023-05-12 18:26:22,mercearia, Açúcar em Pó Sidul ,0.25,KG,1.59,6.36,€
90,2023-05-12 18:26:22,mercearia, Açúcar em Pó Rar ,0.25,KG,1.25,5.0,€
91,2023-05-12 18:26:22,mercearia, Cereais Corn Flakes Pingo Doce ,0.5,KG,1.79,3.58,€
92,2023-05-12 18:26:22,mercearia, Gomas Dedos Interdoces ,0.15,KG,1.89,12.6,€
93,2023-05-12 18:26:22,mercearia, Açúcar Mascavado Escuro RAR ,0.5,KG,2.19,4.38,€
94,2023-05-12 18:26:22,mercearia, Açúcar Mascavado Claro RAR ,0.5,KG,2.19,4.38,€
95,2023-05-12 18:26:22,mercearia, Flocos de Mel Pingo Doce ,0.75,KG,3.29,4.39,€
96,2023-05-12 18:26:22,mercearia, Sal Grosso Pingo Doce ,1.0,KG,0.25,0.25,€
97,2023-05-12 18:26:22,mercearia, Gomas Amoras Interdoces ,0.15,KG,1.89,12.6,€
98,2023-05-12 18:26:22,mercearia, Gomas Bananas Interdoces ,0.15,KG,1.89,12.6,€
99,2023-05-12 18:26:22,mercearia, Gomas Minhocas Interdoces ,0.15,KG,1.89,12.6,€
100,2023-05-12 18:26:22,mercearia, Gomas Minhocas Cítricas Interdoces ,0.15,KG,1.89,12.6,€
101,2023-05-12 18:26:22,mercearia, Gomas Morangos Interdoces ,0.15,KG,1.89,12.6,€
102,2023-05-12 18:26:22,mercearia, Açúcar de Coco Bio Seara ,0.25,KG,3.99,15.96,€
103,2023-05-12 18:26:22,mercearia, Açúcar Mascavado+Stevia Sidul ,0.5,KG,3.45,6.9,€
104,2023-05-12 18:26:22,mercearia, Batatas Originais Pringles ,0.04,KG,1.29,3.23,€
105,2023-05-12 18:26:22,mercearia, Gomas Fun Mix Interdoces ,0.16,KG,2.19,13.69,€
106,2023-05-12 18:26:22,mercearia, Gomas Coloridas Fun Mix Interdoces ,0.16,KG,2.19,13.69,€
107,2023-05-12 18:26:22,mercearia, Açúcar Demerara RAR ,0.5,KG,1.99,3.98,€
108,2023-05-12 18:26:22,mercearia, Açúcar Branco Extrafino RAR ,1.0,KG,1.89,1.89,€
109,2023-05-12 18:26:22,mercearia, Cogumelos Laminados Pingo Doce ,0.185,KG,0.75,4.05,€
110,2023-05-12 18:26:22,mercearia, Milho Doce Pingo Doce ,0.15,KG,0.65,4.33,€
111,2023-05-12 18:26:22,mercearia, Snack de Maçã e Canela Fruut ,0.02,KG,0.99,49.5,€
112,2023-05-12 18:26:22,mercearia, Açúcar Branco Granulado RAR ,1.0,KG,1.69,1.69,€
113,2023-05-12 18:26:22,mercearia, Bolsa de Fruta Frutos Vermelhos Pingo Doce ,0.12,KG,0.89,7.42,€
114,2023-05-12 18:26:22,mercearia, Pudim Flan Pingo Doce Económico ,0.0224,KG,0.85,38.64,€
115,2023-05-12 18:26:22,mercearia, Pudim de Caramelo Pingo Doce ,0.09,KG,0.45,5.0,€
116,2023-05-12 18:26:22,mercearia, Café Pastilhas Intenso Pingo Doce ,15.0,UN,2.09,0.14,€
117,2023-05-12 18:26:22,mercearia, Bolsa 100% Frutas e Aveia Pingo Doce ,0.12,KG,0.89,7.42,€
118,2023-05-12 18:26:22,mercearia, Polpa de Manga Koala ,0.45,KG,2.44,5.42,€
119,2023-05-12 18:26:22,mercearia, Bolsa de Fruta Multifrutos com Aveia Pingo Doce ,0.12,KG,0.89,7.42,€
120,2023-05-12 18:26:22,mercearia, Granola com Sementes Ancestrais Pingo Doce ,0.375,KG,2.79,7.44,€
121,2023-05-12 18:26:22,mercearia, Leite Evaporado Pingo Doce ,0.41,KG,1.29,3.15,€
122,2023-05-12 18:26:22,mercearia, Creme de Barrar de Chocolate Negro Nocilla ,0.18,KG,2.84,15.78,€
123,2023-05-12 18:26:22,mercearia, Creme de Barrar Original 0% Açúcar Nocilla ,0.19,KG,3.19,16.79,€
124,2023-05-12 18:26:22,mercearia, Creme de Barrar Original Nocilla ,0.19,KG,2.39,12.58,€
125,2023-05-12 18:26:22,mercearia, Vinagre de Vinho Branco Pingo Doce ,1.0,L,0.59,0.59,€
126,2023-05-12 18:26:22,mercearia, Vinagre de Fruta Pingo Doce ,0.5,L,0.45,0.9,€
127,2023-05-12 18:26:22,mercearia, Mel de Rosmaninho Serramel ,0.5,KG,5.89,11.78,€
128,2023-05-12 18:26:22,mercearia, Bicarbornato de Sódio Margão ,0.06,KG,0.99,16.5,€
129,2023-05-12 18:26:22,mercearia, Polpa de Manga Pingo Doce ,0.86,KG,3.29,3.83,€
130,2023-05-12 18:26:22,mercearia, Cevada Solúvel Pensal ,0.075,KG,0.99,13.2,€
131,2023-05-12 18:26:22,mercearia, Espuma de Alho Negro Pingo Doce ,0.12,L,1.29,10.75,€
133,2023-05-12 18:26:22,mercearia, Doce de Leite Bonne Maman ,0.38,KG,3.99,10.5,€
134,2023-05-12 18:26:22,mercearia, Tomate Pelado Inteiro Pingo Doce ,0.39,KG,0.89,2.28,€
135,2023-05-12 18:26:22,mercearia, Tomate Pedaços Pingo Doce ,0.39,KG,0.89,2.28,€
136,2023-05-12 18:26:22,mercearia, Doce de Frutos Vermelhos Intense Bonne Maman ,0.335,KG,3.94,11.76,€
137,2023-05-12 18:26:22,mercearia, Doce de Morango Intense Bonne Maman ,0.335,KG,3.94,11.76,€
138,2023-05-12 18:26:22,mercearia, Puré de Maçã sem Açúcar Andros ,0.73,KG,3.79,5.19,€
139,2023-05-12 18:26:22,mercearia, Molho Parmigiana Saclà ,0.35,KG,4.99,14.26,€
140,2023-05-12 18:26:22,mercearia, Bolachas Sortido Cuétara ,0.42,KG,5.99,14.26,€
141,2023-05-12 18:26:22,mercearia, Snack de Fruta Maçã Vermelha Frubis ,0.02,KG,0.79,39.5,€
142,2023-05-12 18:26:22,mercearia, Bolachas Maria Artiach Marbu ,0.2,KG,1.14,5.7,€
143,2023-05-12 18:26:22,mercearia, Snack de Pêra Rocha Frubis ,0.02,KG,0.79,39.5,€
144,2023-05-12 18:26:22,mercearia, Snack de Maçã Verde Frubis ,0.02,KG,0.79,39.5,€
145,2023-05-12 18:26:22,mercearia, Doce de Laranja Pingo Doce ,0.355,KG,1.49,4.2,€
146,2023-05-12 18:26:22,mercearia, Cornichons Finos e Aromáticos Hengstenberg ,0.33,KG,2.95,8.94,€
147,2023-05-12 18:26:22,mercearia, Vinagre de Sidra Pingo Doce ,1.0,L,0.69,0.69,€
148,2023-05-12 18:26:22,mercearia, Bolachas de Aveia 0% AvenaCol Cuétara ,0.25,KG,2.99,11.96,€
149,2023-05-12 18:26:22,mercearia, Café Moagem Universal Organic Delta ,0.22,KG,4.79,21.77,€
150,2023-05-12 18:26:22,mercearia, Descafeinado Moagem Universal Delta ,0.22,KG,4.99,0.02,€
151,2023-05-12 18:26:22,mercearia, Pêssego em Calda Pingo Doce ,0.82,KG,2.29,2.79,€
152,2023-05-12 18:26:22,mercearia, Drageias de Morango Smint ,2.0,UN,3.99,2.0,€
153,2023-05-12 18:26:22,mercearia, Drageias de Eucalipto Smint ,0.035,KG,2.29,65.43,€
154,2023-05-12 18:26:22,mercearia, Caramelos Rainbow Mentos - Pack 3 ,0.114,KG,2.39,20.96,€
155,2023-05-12 18:26:22,mercearia, Caramelos Frutas Mentos - Pack 3 ,0.114,KG,2.39,20.96,€
156,2023-05-12 18:26:22,mercearia, Molho Inglês Lea Perrins ,0.15,L,4.99,33.27,€
157,2023-05-12 18:26:22,mercearia, Café Grão Lote Chávena Delta ,1.0,KG,13.99,13.99,€
158,2023-05-12 18:26:22,mercearia, Mistura Ibérica Torrada Moída Delta ,0.25,KG,2.29,9.16,€
159,2023-05-12 18:26:22,mercearia, Mistura Peninsular Torrada Moída Delta ,0.25,KG,1.89,7.56,€
160,2023-05-12 18:26:22,mercearia, Cevada Torrada Moída Delta ,0.25,KG,0.99,3.96,€
161,2023-05-12 18:26:22,mercearia, Pastilha Elástica Frutos Vermelhos Big Bottle Full Fruit Mentos ,0.06,KG,2.94,49.0,€
162,2023-05-12 18:26:22,mercearia, Mel de Portugal com Doseador Serramel ,0.5,KG,6.19,12.38,€
163,2023-05-12 18:26:22,mercearia, Azeitona Verde Retalhada Pingo Doce ,0.56,KG,2.99,5.34,€
164,2023-05-12 18:26:22,mercearia, Nata para Café Président ,10.0,UN,1.15,0.11,€
165,2023-05-12 18:26:22,mercearia, Gelatina Frutos do Bosque Condi ,0.17,KG,1.89,11.12,€
166,2023-05-12 18:26:22,mercearia, Gelatina Mirtilo Condi ,0.17,KG,1.89,11.12,€
167,2023-05-12 18:26:22,mercearia, Bolsa 100% Frutas e Chia Pingo Doce ,0.12,KG,0.89,7.42,€
168,2023-05-12 18:26:22,mercearia, Mini Wraps de Trigo Koala ,0.26,KG,2.19,8.42,€
169,2023-05-12 18:26:22,mercearia, Gelatina Amora Condi ,0.17,KG,1.89,11.12,€
170,2023-05-12 18:26:22,mercearia, Gelatina Vegetal Manga Condi ,0.18,KG,2.44,13.56,€
171,2023-05-12 18:26:22,mercearia, Tomate em Pedaços com Orégãos e Manjericão Pingo Doce ,0.39,KG,0.99,2.54,€
172,2023-05-12 18:26:22,mercearia, Gelatina Maracujá Condi ,0.17,KG,1.89,11.12,€
173,2023-05-12 18:26:22,mercearia, Gelatina Tutti Frutti Condi ,0.17,KG,1.89,11.12,€
174,2023-05-12 18:26:22,mercearia, Gelatina Morango Condi ,0.17,KG,1.89,11.12,€
175,2023-05-12 18:26:22,mercearia, Gelatina Pêssego Condi ,0.17,KG,1.89,11.12,€
176,2023-05-12 18:26:22,mercearia, Gelatina Ananás Condi ,0.17,KG,1.89,11.12,€
177,2023-05-12 18:26:22,mercearia, Sal Grosso em Balde Vatel ,0.8,KG,1.19,1.49,€
178,2023-05-12 18:26:22,mercearia, Fermento de Padeiro sem Glúten Condi ,0.044,KG,1.79,40.68,€
179,2023-05-12 18:26:22,mercearia, Gelatina Vegetal Morango Condi ,0.18,KG,2.44,13.56,€
180,2023-05-12 18:26:22,mercearia, Gelatina de Tangerina Condi ,0.17,KG,1.89,10.99,€
181,2023-05-12 18:26:22,mercearia, Tremoços 13/15 Pingo Doce ,0.8,KG,2.99,3.74,€
182,2023-05-12 18:26:22,mercearia, Sêmola de Milho sem Glúten Ceifeira ,0.5,KG,0.69,1.38,€
183,2023-05-12 18:26:22,mercearia, Puré de Fruta Maçã Pêra Blédina ,0.76,KG,5.09,6.7,€
184,2023-05-12 18:26:22,mercearia, Puré de Fruta Maçã e Banana Blédina ,0.76,KG,5.09,6.7,€
185,2023-05-12 18:26:22,mercearia, Tremoços Picantes Maçarico ,0.15,KG,1.99,12.84,€
186,2023-05-12 18:26:22,mercearia, Snack de Manga Soft Frubis ,0.05,KG,1.19,23.8,€
187,2023-05-12 18:26:22,mercearia, Snack de Abacaxi Soft Frubis ,0.05,KG,1.19,23.8,€
188,2023-05-12 18:26:22,mercearia, Truffas com Ovos Moles ,0.12,KG,3.49,29.08,€
189,2023-05-12 18:26:22,mercearia, Bolachas com Recheio de Cacau Pingo Doce ,0.5,KG,1.59,3.18,€
