Old_index,Name,Amount,List_Price,Price_per_unit_of_measure,Store,Cabaz_product,Standardized_Category,Abbr_Category,Currency
12143,Tortellinni com Ricotta e Espinafres,0.25,3.84,15.36,continete,19,frigorifico,FRIGO,€
2991,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,mercearia,MERC,€
7315,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,mercearia,MERC,€
10705,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,peixaria_talho,PETA,€
12171,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,frigorifico,FRIGO,€
5656,Preparado para Sopa de Espinafres,0.5,1.87,3.74,continete,19,frutas_legumes,FRLE,€
5900,Creme Batata Doce e Espinafres,0.45,2.06,4.58,continete,19,frutas_legumes,FRLE,€
5907,"Sumo MaÃ§Ã£, Pepino, Espinafres, Aipo LimÃ£o e Gengibre",0.75,3.99,5.32,continete,19,frutas_legumes,FRLE,€
6105,Tortellini Fresco de Ricotta e Espinafres,0.25,3.79,15.16,continete,19,mercearia,MERC,€
11792,Tortellini Fresco de Ricotta e Espinafres,0.25,3.79,15.16,continete,19,frigorifico,FRIGO,€
6326,Fingers de Espinafres,0.284,2.99,10.53,continete,19,mercearia,MERC,€
10967,Fingers de Espinafres,0.284,2.99,10.53,continete,19,congelados,CONGE,€
6616,Gnocchi com Molho de Tomate e Espinafres,0.5,3.69,7.38,continete,15,mercearia,MERC,€
11226,Gnocchi com Molho de Tomate e Espinafres,0.5,3.69,7.38,continete,15,congelados,CONGE,€
11793,Gnocchi com Molho de Tomate e Espinafres,0.5,3.69,7.38,continete,15,frigorifico,FRIGO,€
7094,Empanadilha Espinafres e Queijo,0.33,4.39,13.3,continete,1,mercearia,MERC,€
11315,Empanadilha Espinafres e Queijo,0.33,4.39,13.3,continete,1,congelados,CONGE,€
12107,Empanadilha Espinafres e Queijo,0.33,4.39,13.3,continete,1,frigorifico,FRIGO,€
7124,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,mercearia,MERC,€
10632,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,peixaria_talho,PETA,€
12097,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,frigorifico,FRIGO,€
2991,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,mercearia,MERC,€
7315,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,mercearia,MERC,€
10705,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,peixaria_talho,PETA,€
12171,HambÃºrguer de Espinafres,0.16,3.39,21.19,continete,19,frigorifico,FRIGO,€
10482,Rolo de Carne de Porco com Espinafres e Queijo,1.1,7.59,8.35,continete,1,peixaria_talho,PETA,€
7124,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,mercearia,MERC,€
10632,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,peixaria_talho,PETA,€
12097,HambÃºrguer Vegetariano de Espinafres,0.16,4.39,27.44,continete,19,frigorifico,FRIGO,€
5498,Cenoura,0.68,1.22,0.21,continete,20,frutas_legumes,FRLE,€
226,"Saqueta de Fruta MaÃ§Ã£, Pera e Cenoura +8M",0.09,0.74,8.22,continete,20,mercearia,MERC,€
348,"Saqueta de Fruta MaÃ§Ã£, Cenoura e Manga +6M",0.09,0.74,8.22,continete,20,mercearia,MERC,€
416,Ervilhas com Cenoura sem GlÃºten,0.41,1.49,6.37,continete,9,mercearia,MERC,€
6567,Ervilhas com Cenoura sem GlÃºten,0.41,1.49,6.37,continete,9,mercearia,MERC,€
943,"Saqueta de Fruta Ameixa, Cenoura, Pera e Beterraba +6M",0.085,0.89,10.47,continete,20,mercearia,MERC,€
984,Snack para BebÃ© Cenoura +10M,0.04,1.91,7.96,continete,20,mercearia,MERC,€
6369,Snack para BebÃ© Cenoura +10M,0.04,1.91,7.96,continete,20,mercearia,MERC,€
1219,"PurÃ© MaÃ§Ã£, Cenoura e AbÃ³bora Saqueta",0.1,1.09,10.9,continete,20,mercearia,MERC,€
1319,Ervilhas e Cenouras sem GlÃºten,0.6,3.89,9.97,continete,9,mercearia,MERC,€
6232,Ervilhas e Cenouras sem GlÃºten,0.6,3.89,9.97,continete,9,mercearia,MERC,€
1566,Arroz de Cenoura Pronto a Comer sem GlÃºten,2.0,1.45,5.8,continete,2,mercearia,MERC,€
6709,Arroz de Cenoura Pronto a Comer sem GlÃºten,2.0,1.45,5.8,continete,2,mercearia,MERC,€
11962,Arroz de Cenoura Pronto a Comer sem GlÃºten,2.0,1.45,5.8,continete,2,frigorifico,FRIGO,€
1621,"Saqueta de Fruta MaÃ§Ã£, Banana e Cenoura +4M",0.1,1.08,10.8,continete,20,mercearia,MERC,€
7021,"Saqueta de Fruta MaÃ§Ã£, Banana e Cenoura +4M",0.1,1.08,10.8,continete,20,mercearia,MERC,€
1885,"BoiÃ£o de Fruta Pera, Banana e Cenoura +4M",0.12,1.19,9.92,continete,20,mercearia,MERC,€
7780,"BoiÃ£o de Fruta Pera, Banana e Cenoura +4M",0.12,1.19,9.92,continete,20,mercearia,MERC,€
2834,RefeiÃ§Ã£o para BebÃ© Peru e Cenouras +6M,2.0,3.99,9.98,continete,20,mercearia,MERC,€
5245,Mini Cenoura,0.26,1.79,6.88,continete,20,padaria_pastelaria,PAPA,€
5490,Cenoura Embalada,1.0,1.22,1.22,continete,20,frutas_legumes,FRLE,€
5542,Cenoura BiolÃ³gica,0.5,0.99,1.98,continete,20,frutas_legumes,FRLE,€
6096,Cenoura BiolÃ³gica,0.5,0.99,1.98,continete,20,mercearia,MERC,€
2640,Creme de Alho FrancÃªs,0.074,0.89,12.03,continete,21,mercearia,MERC,€
5501,Alho FrancÃªs Cortado,0.3,1.4,4.67,continete,21,frutas_legumes,FRLE,€
11184,Alho FrancÃªs Cortado,0.75,0.93,1.24,continete,21,congelados,CONGE,€
5852,Sopa Alho FrancÃªs com Cenoura,0.35,1.68,4.8,continete,20,frutas_legumes,FRLE,€
6164,Alho FrancÃªs BiolÃ³gico,0.4,1.99,4.98,continete,21,mercearia,MERC,€
5501,Alho FrancÃªs Cortado,0.3,1.4,4.67,continete,21,frutas_legumes,FRLE,€
11184,Alho FrancÃªs Cortado,0.75,0.93,1.24,continete,21,congelados,CONGE,€
12221,Croquete de Frango com Alho FrancÃªs,2.0,0.79,17.56,continete,10,frigorifico,FRIGO,€
14920, Alho FrancÃªs Pingo Doce - Embalagem 0.4 Kg ,0.4,1.87,4.68,pingo_doce,21,frutas_legumes,FRLE,€
14986, Alho FrancÃªs PedaÃ§os - Embalagem 0.4 Kg ,0.4,1.5,3.75,pingo_doce,21,frutas_legumes,FRLE,€
14996, Alho FrancÃªs Bio - Embalagem 0.4 Kg ,0.4,2.06,5.15,pingo_doce,21,frutas_legumes,FRLE,€
15081, Alho FrancÃªs Inteiro Pingo Doce - Embalagem 0.5 Kg ,0.5,2.82,2.82,pingo_doce,21,frutas_legumes,FRLE,€
16079, Alho FrancÃªs Ã s Rodelas Congelado Pingo Doce ,0.75,0.93,1.24,pingo_doce,21,congelados,CONGE,€
260,Polpa de Tomate com Cebola e Alho,0.5,1.29,2.58,continete,15,mercearia,MERC,€
511,Polpa de Tomate com Cebola e Alho,0.5,1.39,2.78,continete,15,mercearia,MERC,€
1901,Polpa de Tomate com Cebola e Alho,0.5,2.39,4.78,continete,15,mercearia,MERC,€
270,"Croutons com Azeite, Alho e Salsa",0.075,0.74,9.87,continete,22,mercearia,MERC,€
5053,"Croutons com Azeite, Alho e Salsa",0.075,0.74,9.87,continete,22,padaria_pastelaria,PAPA,€
260,Polpa de Tomate com Cebola e Alho,0.5,1.29,2.58,continete,15,mercearia,MERC,€
511,Polpa de Tomate com Cebola e Alho,0.5,1.39,2.78,continete,15,mercearia,MERC,€
1901,Polpa de Tomate com Cebola e Alho,0.5,2.39,4.78,continete,15,mercearia,MERC,€
798,Tostas com Alho e Salsa,0.1,1.87,18.7,continete,5,mercearia,MERC,€
5171,Tostas com Alho e Salsa,0.1,1.87,18.7,continete,5,padaria_pastelaria,PAPA,€
28,Azeite,0.75,3.95,5.27,continete,22,mercearia,MERC,€
2996,Azeite,0.75,4.8,6.4,continete,22,mercearia,MERC,€
28,Azeite,0.75,3.95,5.27,continete,22,mercearia,MERC,€
2996,Azeite,0.75,4.8,6.4,continete,22,mercearia,MERC,€
0,Atum em Azeite,0.12,1.22,14.19,continete,12,mercearia,MERC,€
36,Atum em Azeite,0.12,1.02,12.0,continete,12,mercearia,MERC,€
888,Atum em Azeite,0.385,2.82,11.28,continete,12,mercearia,MERC,€
2,Atum Filetes em Azeite,0.12,2.53,32.44,continete,12,mercearia,MERC,€
10,Atum Posta em Azeite,0.12,1.78,22.82,continete,12,mercearia,MERC,€
69,Atum Posta em Azeite,0.12,2.06,26.41,continete,12,mercearia,MERC,€
72,Atum Posta em Azeite,0.12,1.02,12.0,continete,12,mercearia,MERC,€
84,Atum Posta em Azeite,0.385,5.36,21.35,continete,12,mercearia,MERC,€
165,Atum Posta em Azeite,0.12,1.03,13.21,continete,12,mercearia,MERC,€
196,Atum Posta em Azeite,0.2,2.94,22.62,continete,12,mercearia,MERC,€
277,Atum Posta em Azeite,0.385,3.29,13.16,continete,12,mercearia,MERC,€
327,Atum Posta em Azeite,0.385,3.76,15.04,continete,12,mercearia,MERC,€
385,Atum Posta em Azeite,0.11,1.02,14.17,continete,12,mercearia,MERC,€
1189,Atum Posta em Azeite,0.12,1.64,21.03,continete,12,mercearia,MERC,€
1519,Atum Posta em Azeite,0.12,1.4,17.95,continete,12,mercearia,MERC,€
7282,Atum Posta em Azeite,0.12,1.4,17.95,continete,12,mercearia,MERC,€
15,Azeite Virgem Extra Selecionado Pet,0.75,5.17,6.89,continete,22,mercearia,MERC,€
0,Atum em Azeite,0.12,1.22,14.19,continete,12,mercearia,MERC,€
36,Atum em Azeite,0.12,1.02,12.0,continete,12,mercearia,MERC,€
888,Atum em Azeite,0.385,2.82,11.28,continete,12,mercearia,MERC,€
38,Azeite Virgem Extra,0.75,4.42,5.89,continete,22,mercearia,MERC,€
1008,Azeite Virgem Extra,0.75,6.35,8.47,continete,22,mercearia,MERC,€
1427,Azeite Virgem Extra,0.5,3.76,7.52,continete,22,mercearia,MERC,€
2528,Azeite Virgem Extra,0.5,8.95,17.9,continete,22,mercearia,MERC,€
2655,Azeite Virgem Extra,0.75,6.6,8.8,continete,22,mercearia,MERC,€
3395,Azeite Virgem Extra,0.5,6.78,13.56,continete,22,mercearia,MERC,€
4073,Azeite Virgem Extra,0.5,9.42,18.84,continete,22,mercearia,MERC,€
6236,Azeite Virgem Extra,0.75,6.35,8.47,continete,22,mercearia,MERC,€
6850,Azeite Virgem Extra,0.5,3.76,7.52,continete,22,mercearia,MERC,€
7219,Azeite Virgem Extra,0.5,6.78,13.56,continete,22,mercearia,MERC,€
7439,Azeite Virgem Extra,0.5,9.42,18.84,continete,22,mercearia,MERC,€
41,Azeite Virgem Extra Sublime,0.75,5.46,7.28,continete,22,mercearia,MERC,€
10,Atum Posta em Azeite,0.12,1.78,22.82,continete,12,mercearia,MERC,€
